name,ring,quadrant,isNew,description
Swashbuckle,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/aspnet/core/tutorials/getting-started-with-swashbuckle?view=aspnetcore-5.0&tabs=visual-studio"">Swagger (OpenAPI)</a></strong> is a language-agnostic specification for describing REST APIs. It allows both computers and humans to understand the capabilities of a REST API without direct access to the source code</br></br><strong>Used by:</strong> All</p>"
Apollo GraphQL,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/apollographql/apollo-client"">Apollo Client</a></strong> is a fully-featured caching GraphQL client with integrations for React, Angular, and more. It allows you to easily build UI components that fetch data via GraphQL.</br></br><strong>Used by:</strong> All</p>"
React,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://reactjs.org/"">React</a></strong> is a JavaScript library for building user interfaces.</br></br><strong>Used by:</strong> All</p>"
Axios,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/axios/axios"">Axios</a></strong> is a simple promise based HTTP client for the browser and node.js.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
uuid,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/uuidjs/uuid"">uuid</a></strong> help you to create a random UUID.</br></br><strong>Used by:</strong> Starlight, TORO, LMKT</p>"
Redux,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://redux.js.org/"">Redux</a></strong> is a predictable State Container for JS Apps.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
Redux-Saga,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://redux-saga.js.org/"">Redux-Saga</a></strong> is an intuitive Redux side effect manager.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</br><strong>Alternatives:</strong>Redux</p>"
Material-UI,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://material-ui.com/"">Material-UI</a></strong> ,react components for faster and easier web development. Build your own design system, or start with Material Design.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
date-fns,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://date-fns.org/"">date-fns</a></strong> is a modern JavaScript date utility library.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
styled-components,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://styled-components.com/"">Styled components</a></strong>, visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT<strong>Alternatives:</strong>Emotion</p>"
Jest,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://jestjs.io/"">Jest</a></strong>  is a delightful JavaScript Testing Framework with a focus on simplicity.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
React Testing Library,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://testing-library.com/docs/react-testing-library/intro/"">React Testing Library</a></strong> is a simple and complete React DOM testing utilities that encourage good testing practices..</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
Lodash,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://lodash.com/"">Lodash</a></strong> is a modern JavaScript utility library delivering modularity, performance & extras.</br></br><strong>Used by:</strong> SAPO, TORO, LMKT</p>"
Faker,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/oriches/faker-cs"">Faker</a></strong> is an open source C# port of the Ruby Faker gem mainly used to easily generate fake (but presentable) data (names, addresses, phone numbers, etc).</br></br><strong>Used by:</strong> TZT Leads, LMKT</p>"
MoqDapper,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/UnoSD/Moq.Dapper"">Moq</a></strong> extensions for Dapper methods.</br></br><strong>Used by:</strong> LMKT</p>"
.NET 5,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/core/dotnet-five"">.NET Core</a></strong> is a cross-platform implementation for running websites, services, and console apps on Windows, Linux, and macOS.</br></br><strong>Used by:</strong> SAPO, LMKT</br><strong>Alternatives:</strong>.NET 8</p>"
immer,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/immerjs/immer"">immer</a></strong>, create the next immutable state tree by simply modifying the current tree.</br></br><strong>Used by:</strong> SAPO</p>"
microsoft/signalr,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.npmjs.com/package/@microsoft/signalr"">microsoft/signalr</a></strong> is a JavaScript and TypeScript clients for SignalR for ASP.NET Core and Azure SignalR Service.</br></br><strong>Used by:</strong> SAPO, CUY</p>"
GoJS,trial,Languages and Frameworks,FALSE,"<p><strong><a href=""https://gojs.net/latest/index.html"">GoJS</a></strong> a  web Framework for Rapidly Building Interactive Diagrams.</br></br><strong>Used by:</strong> LMKT</p>"
Cypress,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.cypress.io/"">Cypress</a></strong> is a purely JavaScript-based front end testing tool built for the modern web. It aims to address the pain points developers or QA engineers face while testing an application. Cypress is a more developer-friendly tool that uses a unique DOM manipulation technique and operates directly in the browser.</br></br><strong>Used by:</strong> SAPO, LM, LMKT</br><strong>Alternatives:</strong> Playwright</p>"
MSAL.NET,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/AzureAD/microsoft-authentication-library-for-dotnet"">MSAL</a></strong> library for .NET is part of the Microsoft identity platform for developers (formerly named Azure AD) v2.0. It enables you to acquire security tokens to call protected APIs. It uses industry standard OAuth2 and OpenID Connect.</br></br><strong>Used by:</strong> CUY</p>"
msal-react,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/AzureAD/microsoft-authentication-library-for-js"">msal-react</a></strong> is a library for JavaScript enables client-side JavaScript applications to authenticate users using Azure AD.</br></br><strong>Used by:</strong> CUY</p>"
LightInject,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.lightinject.net/"">Lightweight</a></strong> is an ultra Inversion of Control container for the .Net framework.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Microsoft.Extensions.DependencyInjection</p>"
Castle Windsor,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/castleproject/Windsor"">Castle Windsor</a></strong> is a best of breed, mature Inversion of Control container available for .NET.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Microsoft.Extensions.DependencyInjection</p>"
.NET Framework,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://dotnet.microsoft.com/download/dotnet-framework"">.NET Framework</a></strong> is the original implementation of .NET. It supports running websites, services, desktop apps, and more on Windows.</br></br><strong>Used by:</strong> TZT Leads, LM</br><strong>Alternatives:</strong> .NET 8</p>"
OData,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.odata.org/"">Open Data Protocol (OData)</a></strong> is an open protocol that allows the creation and consumption of queryable and interoperable REST APIs in a simple and standard way</br></br><strong>Used by:</strong> TZT Leads, LMKT</br><strong>Alternatives:</strong> Grahpql</p>"
Unity container,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""http://unitycontainer.org/articles/introduction.html"">Unity Container (Unity)</a></strong> is a lightweight, extensible dependency injection container.</br></br><strong>Used by:</strong> LM, CUY</br><strong>Alternatives:</strong> Microsoft.Extensions.DependencyInjection</p>"
ADAL.NET,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/samples/azure-samples/active-directory-dotnet-v1-to-v2/active-directory-dotnet-v1-to-v2/"">ADAL.NET</a></strong></br></br><strong>Used by:</strong> All</br><strong>Alternatives:</strong> MSAL.NET</p>"
NHibernate,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://nhibernate.info/"">NHibernate</a></strong> is a mature, open source object-relational mapper for the .NET framework.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Entity Framework Core</p>"
ADO.NET,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/framework/data/adonet/"">ADO.NET</a></strong> is a set of classes that expose data access services for .NET Framework programmers. ADO.NET provides a rich set of components for creating distributed, data-sharing applications.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Dapper</p>"
Entity Framework 6,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/ef/ef6/"">Entity Framework 6 (EF6)</a></strong> is a tried and tested object-relational mapper (O/RM) for .NET with many years of feature development and stabilization.</br></br><strong>Used by:</strong> CUY</br><strong>Alternatives:</strong> Entity Framework Core</p>"
Rhino Service Bus,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://hibernatingrhinos.com/oss/rhino-service-bus"">Rhino Service Bus</a></strong> is a messaging framework that supports transactional, durable, reliable, distributed, asynchronous messaging.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Rebus</p>"
Common.Logging,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://net-commons.github.io/common-logging/"">Common.Logging</a></strong> provides a basic logging abstraction for developers to code against that makes it easy to switch your application from one logging framework to the next via simple configuration.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Serilog</p>"
NLog,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://nlog-project.org/"">NLog</a></strong> is a flexible and free logging platform for various .NET platforms, including .NET standard. NLog makes it easy to write to several targets. (database, file, console) and change the logging configuration on-the-fly.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Serilog</p>"
AngularJS,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://angularjs.org/"">AngularJS</a></strong> is a toolset for building the framework most suited to your application development.</br></br><strong>Used by:</strong> CUY</br><strong>Alternatives:</strong> React</p>"
RxJS,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://rxjs.dev/"">RxJS</a></strong> is a library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code.</br></br><strong>Used by:</strong> CUY</br><strong>Alternatives:</strong> React</p>"
react-adal,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/salvoravida/react-adal"">react-adal</a></strong> , Azure Active Directory Library (ADAL) support for ReactJS.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</br><strong>Alternatives:</strong> msal-react</p>"
aspnet/signalr,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.npmjs.com/package/@aspnet/signalr"">aspnet/signalr</a></strong> ,JavaScript and TypeScript clients for SignalR for ASP.NET Core.</br></br><strong>Used by:</strong> LMKT</br><strong>Alternatives:</strong> microsoft/signalr</p>"
Enzyme,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://enzymejs.github.io/enzyme/"">Enzyme</a></strong> is a JavaScript Testing utility for React that makes it easier to test your React Components' output.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</br><strong>Alternatives:</strong> Jest</p>"
Azure Kubernetes Service,hold,Platforms,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/aks/"">Azure Kubernetes Service</a></strong> is a robust and cost-effective container orchestration service that helps you to deploy and manage containerized applications in seconds where additional resources are assigned automatically without the headache of managing additional servers.</br></br><strong>Used by:</strong> TZT Leads, LMKT, TORO, SAPO</br><strong>Alternatives:</strong>  Amazon EKS</p>"
Azure Functions,hold,Platforms,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/azure-functions/"">Azure Functions</a></strong> is the serverless computing service hosted on the Microsoft Azure public cloud. Azure Functions, and serverless computing, in general, is designed to accelerate and simplify application development.</br></br><strong>Used by:</strong> SAPO</br><strong>Alternatives:</strong> AWS Lambda</p>"
AWS,adopt,Platforms,FALSE,"<p><strong><a href=""https://aws.amazon.com/es/"">Amazon Web Services (AWS)</a></strong> is a secure cloud services platform, offering compute power, database storage, content delivery and other functionality to help businesses scale and grow.</br></br><strong>Used by:</strong> All</p>"
On premise,hold,Platforms,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/On-premises_software"">On premise</a></strong> is the software and technology that is located within the physical confines of an enterprise often in the company's data center.</br></br><strong>Used by:</strong> None</br><strong>Alternatives:</strong> Amazon EKS, AWS Lambda</p>"
Azure Web Apps,hold,Platforms,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/app-service/"">Azure Web Apps</a></strong> provides a platform to build an App in Azure without having to deploy, configure and maintain your own Azure VM's. You can build Web App using the ASP.NET, PHP, Node. js and Python. </br></br><strong>Used by:</strong> TZT Leads, LM</br><strong>Alternatives:</strong> Amazon EKS, AWS Lambda</p>"
Azure VMs,hold,Platforms,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/"">Azure virtual machines (VMs)</a></strong> enable you to create dedicated compute resources in minutes that can be used just like a physical desktop or server machine.</br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Amazon EKS, AWS Lambda</p>"
Brain Storming,adopt,Techniques,FALSE,"<p><strong><a href=""https://www.interaction-design.org/literature/topics/brainstorming"">Brainstorming</a></strong> combines a relaxed, informal approach to problem solving with lateral thinking. It encourages people to come up with thoughts and ideas that can, at first, seem a bit crazy. Some of these ideas can be crafted into original, creative solutions to a problem, while others can spark even more ideas.</br></br><strong>Used by:</strong> CUY, LM, SAPO, LMKT, TORO</p>"
User Stories,adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/User_story"">User story</a></strong> is the smallest unit of work in an agile framework. It's an end goal, not a feature, expressed from the software user's perspective. A user story is an informal, general explanation of a software feature written from the perspective of the end user or customer.</br></br><strong>Used by:</strong> All</p>"
Customer Journey Map,adopt,Techniques,FALSE,"<p><strong><a href=""https://delighted.com/blog/guide-to-customer-journey-mapping"">Customer journey map</a></strong> is a visual representation of the customer journey (also called the buyer journey or user journey). It helps you tell the story of your customers' experiences with your brand across all touchpoints</br></br><strong>Used by:</strong> LMKT</p>"
Wireframes,adopt,Techniques,FALSE,"<p><strong><a href=""https://www.experienceux.co.uk/faqs/what-is-wireframing/"">Wireframing</a></strong> is a practice used by UX designers which allows them to define and plan the information hierarchy of their design for a website, app, or product.</br></br><strong>Used by:</strong> LMKT, TORO, SAPO</p>"
Unit Testing,adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Unit_testing"">Unit Testing</a></strong> is a type of software testing where individual units or components of a software are tested. The purpose is to validate that each unit of the software code performs as expected. Unit Testing is done during the development (coding phase) of an application by the developers.</br></br><strong>Used by:</strong> All</p>"
Snapshots Testing,adopt,Techniques,FALSE,"<p><strong><a href=""https://jestjs.io/docs/snapshot-testing"">Snapshot tests</a></strong> are a very useful tool whenever you want to make sure your UI does not change unexpectedly. A typical snapshot test case renders a UI component, takes a snapshot, then compares it to a reference snapshot file stored alongside the test.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Design patterns,adopt,Techniques,FALSE,"<p><strong><a href=""https://refactoring.guru/design-patterns"">Design pattern</a></strong> is a general repeatable solution to a commonly occurring problem in software design. A design pattern isn't a finished design that can be transformed directly into code. It is a description or template for how to solve a problem that can be used in many different situations.<a href=""https://refactoring.guru/design-patterns"">Reference</a></br></br><strong>Used by:</strong> All</p>"
Enterprise Integration Patterns,adopt,Techniques,FALSE,"<p><strong><a href=""https://www.enterpriseintegrationpatterns.com/"">Enterprise integration patterns (EIP)</a></strong> is a catalog of design patterns for developing systems to integrate new and existing software in a business environment.<a href=""https://www.enterpriseintegrationpatterns.com/"">Reference</a></br></br><strong>Used by:</strong> LMKT, TORO, LM, SAPO, CUY, GATO</p>"
Event-Driven Architecture,adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Event-driven_architecture"">Event-driven</a></strong> architecture is a software architecture and model for application design. With an event-driven system, the capture, communication, processing, and persistence of events are the core structure of the solution.</br></br><strong>Used by:</strong> LMKT, TORO, SAPO, CUY, LM, GATO</p>"
Transaction Script Pattern,adopt,Techniques,FALSE,"<p><strong><a href=""https://martinfowler.com/eaaCatalog/transactionScript.html"">Transaction Script</a></strong> organizes business logic by procedures where each procedure handles a single request from the presentation.</br></br><strong>Used by:</strong> TZT Leads</p>"
Layered Architecture,adopt,Techniques,FALSE,"<p><strong><a href=""https://priyalwalpita.medium.com/software-architecture-patterns-layered-architecture-a3b89b71a057"">Layered software architectures</a></strong> comprise multiple layers of components that are placed into logical groupings based on the type of functionality they provide or based on their interactions with other components, such that interlayer communication occurs between adjacent layers.</br></br><strong>Used by:</strong> All</p>"
Clean Code,adopt,Techniques,FALSE,"<p>The practice of <a href=""https://garywoodfine.com/what-is-clean-code/"">clean coding</a> centers on a human value of being a good steward for any other human who will look at or work with the code you build. </br></br><strong>Used by:</strong> All</p>"
Scrum,adopt,Techniques,FALSE,"<p><strong><a href=""https://www.scrum.org/resources/what-is-scrum"">Scrum</a></strong> is a process framework used to manage product development and other knowledge work. Scrum is empirical in that it provides a means for teams to establish a hypothesis of how they think something works, try it out, reflect on the experience, and make the appropriate adjustments.</br></br><strong>Used by:</strong> All</p>"
Pair Programming,adopt,Techniques,FALSE,"<p><strong><a href=""https://searchsoftwarequality.techtarget.com/definition/Pair-programming"">Pair programming</a></strong> allows team members to share quickly, making them less likely to have agendas hidden from each other. This helps pair programmers learn to communicate more easily.</br></br><strong>Used by:</strong> LMKT, TORO, GATO, SAPO, LM</p>"
Event Storming,adopt,Techniques,FALSE,"<p><strong><a href=""https://www.eventstorming.com/"">Event storming</a></strong> is a rapid group modeling approach to domain-driven design. Originally created by Alberto Brandolini in 2012 as a quick alternative to precise UML diagramming, event storming is a workshop-style technique that brings project stakeholders together (both developers and non-technical users) to explore complex business domains.</br></br><strong>Used by:</strong> SAPO, TORO, LM</p>"
Test Driven Development,adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Test-driven_development"">Test Driven Development (TDD)</a></strong> is a software development practice that focuses on creating unit test cases before developing the actual code. It is an iterative approach that combines programming, the creation of unit tests, and refactoring.</br></br><strong>Used by:</strong> All</p>"
Event Sourcing,adopt,Techniques,FALSE,"<p><strong><a href=""https://martinfowler.com/eaaDev/EventSourcing.html"">Event sourcing</a></strong> refers to a collection of patterns based on persisting the full history of a domain as a sequence of events, rather than persisting just the current state.</br></br><strong>Used by:</strong> LMKT</p>"
Domain Driven Design,adopt,Techniques,FALSE,"<p><strong><a href=""https://martinfowler.com/bliki/DomainDrivenDesign.html"">Domain-Driven Design</a></strong> is an approach to software development that centers the development on programming a domain model that has a rich understanding of the processes and rules of a domain.</br></br><strong>Used by:</strong> LM, LMKT, SAPO</p>"
Clean Architecture,adopt,Techniques,FALSE,"<p><strong><a href=""https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html"">Clean architecture</a></strong> is a software design philosophy that separates the elements of a design into ring levels. The main rule of clean architecture is that code dependencies can only move from the outer levels inward. Code on the inner layers can have no knowledge of functions on the outer layers.</br></br><strong>Used by:</strong> All</p>"
CQRS,adopt,Techniques,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/architecture/patterns/cqrs"">CQRS</a></strong> stands for Command Query Responsibility Segregation. It's a pattern that I first heard described by Greg Young. At its heart is the notion that you can use a different model to update information than the model you use to read information</br></br><strong>Used by:</strong> LMKT, LM, SAPO, TORO</p>"
Backend For Front-End,adopt,Techniques,FALSE,"<p><strong><a href=""https://blog.bitsrc.io/bff-pattern-backend-for-frontend-an-introduction-e4fa965128bf"">Backend For Frontend (BFF)</a></strong> architecture is the key to enhanced and improved user experience. A BFF layer consists of multiple backends developed to address the needs of respective frontend frameworks, like desktop, browser, and native-mobile apps.</br></br><strong>Used by:</strong> All</p>"
Azure Blob Storage,hold,Tools,FALSE,"<p><strong><a href=""https://learn.microsoft.com/en-us/azure/storage/blobs/storage-blobs-introduction"">Azure Blob Storage</a></strong> is Microsoft's object storage solution for the cloud. Blob Storage is optimized for storing massive amounts of unstructured data.</br></br><strong>Used by:</strong> TZT Leads, LMKT, TORO, CUY, LM</br><strong>Alternatives:</strong> Amazon S3</p>"
Azure SQL Server,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/azure-sql/"">Azure SQL Database</a></strong> is a fully managed platform as a service (PaaS) database engine that handles most of the database management functions such as upgrading, patching, backups, and monitoring without user involvement.</br></br><strong>Used by:</strong> LMKT, TORO, CUY, SAPO</br><strong>Alternatives:</strong> Amazon Aurora</p>"
Splunk,adopt,Tools,FALSE,"<p><strong><a href=""https://www.splunk.com/"">Splunk</a></strong> is a software platform widely used for monitoring, searching, analyzing and visualizing the machine-generated data in real time. It performs capturing, indexing, and correlating the real time data in a searchable container and produces graphs, alerts, dashboards and visualizations. Splunk provides easy to access data over the whole organization for easy diagnostics and solutions to various business problems.</br></br><strong>Used by:</strong> All</p>"
Application Insights,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview"">Application Insights</a></strong>, a feature of Azure Monitor, is an extensible Application Performance Management (APM) service for developers and DevOps professionals. Use it to monitor your live applications. It will automatically detect performance anomalies, and includes powerful analytics tools to help you diagnose issues and to understand what users actually do with your app. It's designed to help you continuously improve performance and usability.</br></br><strong>Used by:</strong> LM, LMKT, TZTLeads, SAPO</br><strong>Alternatives:</strong> AWS X-Ray</p>"
Azure Cache for Redis or Hosted Redis,hold,Tools,FALSE,"<p><strong><a href=""https://redis.io/"">Redis</a></strong> is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams.</br></br><strong>Used by:</strong> TORO, LMKT, LM</br><strong>Alternatives:</strong> Amazon ElastiCache for Redis</p>"
Azure Service Bus,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/service-bus-messaging/service-bus-messaging-overview"">Microsoft Azure Service Bus</a></strong> is a fully managed enterprise message broker with message queues and publish-subscribe topics. </br></br><strong>Used by:</strong> TZT Leads, LM, TORO, CUY, SAPO, GATO</br><strong>Alternatives:</strong> Amazon SNS, Amazon SQS</p>"
SysDig,adopt,Tools,FALSE,"<p><strong><a href=""https://sysdig.com/"">Sysdig</a></strong> is a simple tool for deep system visibility, with native support for containers.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Sentry,adopt,Tools,FALSE,"<p><strong><a href=""https://sentry.io/welcome/"">Sentry's application monitoring platform</a></strong> helps every developer diagnose, fix, and optimize the performance of their code.</br></br><strong>Used by:</strong> TORO, CUY, SAPO, LM</p>"
